Electronic City,77.6770,12.8399
Bagmane Tech Park,77.6581,12.9785
Manyata Tech Park,77.6221,13.0448
International Tech Park,77.7354,12.9858
Prestige Tech Park,77.6889,12.9398
RMZ Infinity,77.6611,12.9941
Ecospace Business Park,77.6810,12.9275
Global Village Tech Park,77.5014,12.9188
Embassy GolfLinks Business Park,77.6465,12.9513
Embassy TechVillage,77.6925,12.9339
